name,creator,key,tab
Give Me That Old Time Religion,Unknown,Any,6 6 -6 7 7 7 -6 6 7 7 7 -8 -8 8 -8 7 7 7 -8 8 8 8 -8 7 -8 6 7 7 -8 7
Shenandoah,Unknown,C,3 4 4 4 -4 5 -5 -6 6 7 -7 -6 6 -6 6 5 6 6 -6 -6 -6 5 6 5 -4 4 -4 5 4 5 -6 6 4 -4 5 4 -4 4
Clemintine,Unknown,Any,4 4 4 3 6 6 6 5 5 6 7 7 -6 6 -5 -5 6 -6 -6 6 -5 6 5 5 6 -5 3 -4 -5 5 4 4 4 3 6 6 6 5 5 6 7 7 -6 6 -5 -5 6 -6 -6 6 -5 6 5 5 6 -5 3 -4 -5 5
Kum Ba Yah,Unknown,Any,5 6 7 7 7 -7 -7 7 5 6 7 7 7 -6 6 -5 5 6 7 7 7 -7 -7 7 -6 6 5 -5 -5 5
Star Spangled Banner,Unknown,Any,3 2 1 2 3 4 6 -5 5 2 -2 3 3 3 6 -5 5 -4 -3 -4 4 4 3 2 1 3 2 1 2 3 4 6 -5 5 2 -2 3 3 3 6 -5 5 -4 -3 -4 4 4 3 2 1 6 6 6 -6 7 7 -6 6 -5 6 -6 -6 -6 6 -5 5 -4 -3 -4 4 2 -2 3 3 4 4 4 -4 -3 -3 -3 -6 -7 6 -5 5 5 -4 3 3 4 -5 6 -6 7 5 -5 6 -6 -5 5
Take Me Out To The Ball Game,Unknown,Any,5 8 -7 7 6 7 -5 5 8 -7 7 6 7 -7 7 -7 6 -6 7 -7 -6 -5 -7 -7 -7 -8 8 -9 -8 -7 7 6 -5 5 8 -7 7 6 7 -5 -5 5 -5 6 -6 7 -7 -7 -8 8 8 8 -8 -7 7 7 7 -7 -8 8
Clementine,Unknown,C,4 4 4 3 5 5 5 4 4 5 6 6 -5 5 4 -4 5 -5 -5 5 -4 5 4 4 5 -4 3 -3 -4 4 4 4 4 3 5 5 5 4 4 5 6 6 -5 5 4 -4 5 -5 -5 5 -4 5 4 4 5 -4 3 -3 -4 4
Mr. Sandman,Pat Ballard,Any,6 -6 -7 -6 -7 -7 -6 -7 7 7 -7 7 7 -7 -5 -5 5 -5 -7 -7 -6 -7 -6 5 5 -4 5 6 -8 -8 7 -8 -8 -8 7 8 8 8 -8 -7 -6 -7 -7 -6 -7 7 7 -7 7 7 -7 -5 5 -5 -4 -5 -6 7 7 7 -8 7 -8 8 8 8 7 8 7
Love Me Do,Beatles,C,-5 5 -4 3 3 3 -5 -5 -5 5 5 5 -4 3 3 3 -5 5 -4 3 3 3 4 -3 3 3 3 3 3 3 4 -3 -4 -4 5 6 4 -4 -4 5 6 4 -4 -4 5 6 -5 6 -5 5 6 3 3 -5 5 -4 -5 5 5 -4
Let It Be,Beatles,C,6 6 6 6 -6 5 6 6 7 -8 8 8 8 -8 -8 7 7 8 8 -9 8 8 -8 8 -8 -8 7 7 6 6 6 -6 7 6 6 7 -8 -8 8 8 -8 -8 7 7 8 8 -9 8 8 -8 8 -8 -8 8 -8 7 8 9 -1 0 -1 0 9 9 9 8 8 -8 7 -6 6 8 7 8 8 -9 -9 -9 -8 8 -8 -8 -8 7 7
